date,time,lat,lon,alt,x_gyro,y_gyro,z_gyro,x_acc,y_acc,z_acc,north,east,down,pitch,yaw,roll,wind_speed,wind_direction
2020/6/22,16:30:39,22.9027983,120.2731299,0.713,49,141,147,-28,70,-1081,-0.939240456,-0.631343842,-0.713325739,-0.075456418,-1.666572332,-0.001291484,24,300
2020/6/22,16:30:42,22.9027393,120.2730884,6.126,140,51,-70,-9,-45,-936,-7.510165215,-4.890987396,-6.126043797,-0.131696224,-2.566442966,0.024311442,24,300
2020/6/22,16:30:45,22.9026593,120.2730343,12.657,-80,-61,23,-103,-24,-1026,-16.41426468,-10.43430138,-12.65716553,-0.114617459,-2.504624128,0.111243606,24,300
2020/6/22,16:30:48,22.9025861,120.2729744,18.985,-74,200,-53,-68,-103,-889,-24.56589699,-16.5765686,-18.98532677,-0.034638643,-2.578438282,0.036452901,24,300
2020/6/22,16:30:51,22.9025364,120.2729808,20.135,37,-5,-17,-11,-58,-1030,-30.08992958,-15.92010117,-20.13502693,-0.060570486,2.155194521,0.01144235,24,300
2020/6/22,16:30:54,22.9024812,120.2730637,20.052,-27,9,-18,-10,-9,-998,-36.2394104,-7.41768837,-20.05290985,-0.04644005,2.216161489,0.049466081,24,300
2020/6/22,16:30:57,22.9024214,120.2731518,20.149,53,58,19,-20,-16,-1012,-42.89551544,1.619029999,-20.14995384,0.104083993,2.241853952,0.060735539,24,300
2020/6/22,16:31:00,22.9024019,120.2731799,20.323,101,-282,13,53,-44,-1056,-45.07292175,4.492076874,-20.32378197,0.128256813,2.43768239,0.1977119,24,300
2020/6/22,16:31:03,22.9023971,120.2731227,20.075,199,-144,-184,-103,-76,-974,-45.60536957,-1.369604111,-20.07574081,-0.254653722,-1.764739156,-0.004726516,24,300
2020/6/22,16:31:06,22.9023735,120.2730025,20.044,33,3,24,-217,78,-967,-48.22414398,-13.69077682,-20.04464912,-0.236912176,-1.708100319,0.019062165,24,300
2020/6/22,16:31:09,22.9023503,120.2728712,20.048,59,15,-10,-245,1,-972,-50.80690765,-27.16148376,-20.04849625,-0.245775744,-1.653082967,0.022313274,24,300
2020/6/22,16:31:12,22.9023357,120.2727506,20.366,25,94,156,-113,38,-1000,-52.44022369,-39.52574921,-20.36647606,-0.036359753,-1.553669333,0.041709602,24,300
2020/6/22,16:31:15,22.9023649,120.2727303,19.855,-99,70,-209,-33,106,-984,-49.18850708,-41.61100388,-19.85570145,-0.105519451,0.072331607,-0.08501862,24,300
2020/6/22,16:31:18,22.9024565,120.2727464,20.164,-21,78,35,-80,120,-978,-38.98590851,-39.95498657,-20.16483498,-0.092815347,0.144125909,-0.106311895,24,300
2020/6/22,16:31:21,22.902573,120.2727636,20.097,-77,17,52,-84,158,-971,-26.01878166,-38.18829346,-20.09766579,-0.101578228,0.198393032,-0.085062966,24,300
2020/6/22,16:31:24,22.9026982,120.272785,20.205,215,-44,308,-80,36,-893,-12.08067322,-35.99687195,-20.20598984,-0.065874808,0.352181852,0.103103928,24,300
2020/6/22,16:31:27,22.9027589,120.2728712,20.176,-17,95,87,-6,108,-967,-5.32950592,-27.15804672,-20.1765213,-0.064280957,1.191234112,-0.038725812,24,300
2020/6/22,16:31:30,22.9027831,120.273,19.791,19,-50,3,-8,106,-1011,-2.827923775,-15.12243271,-19.82308769,0.008430844,1.319733262,-0.109443426,24,300
2020/6/22,16:31:33,22.9028053,120.2731044,19.624,465,359,221,71,96,-1004,-0.16609478,-3.244600296,-19.62418938,0.19468829,1.439758062,-0.000783398,24,300
2020/6/22,16:31:36,22.9028056,120.2731193,16.974,-1,153,-9,128,25,-955,-0.130726814,-1.717899323,-16.9747467,0.126768813,1.542303443,-0.018695369,24,300
