date,time,lat,lon,alt,x_gyro,y_gyro,z_gyro,x_acc,y_acc,z_acc,north,east,down,pitch,yaw,roll,wind_speed,wind_direction
2020/6/24,14:35:10,22.9027982,120.2731149,17.998,93,55,87,-25,-29,-923,0.077767372,0.501405716,-17.99820137,-0.055027477,-1.694344997,-0.011585763,24,270
2020/6/24,14:35:13,22.9027924,120.2731005,20.126,40,106,113,-147,51,-963,-0.570521355,-0.97797966,-20.12640953,-0.192839891,-1.813344121,0.03862365,24,270
2020/6/24,14:35:16,22.9027815,120.2730495,20.218,29,10,2,-145,32,-961,-1.78263092,-6.211065292,-20.21871567,-0.162633836,-1.795614243,0.000150546,24,270
2020/6/24,14:35:19,22.9027701,120.2729872,20.07,-6,-35,4,-160,31,-906,-3.057691574,-12.60251808,-20.07007599,-0.167042449,-1.861785293,-0.012270188,24,270
2020/6/24,14:35:22,22.9027575,120.2729341,20.062,21,-30,44,-113,-10,-1024,-4.454527855,-18.03812599,-20.06215668,-0.167322263,-1.803817868,0.022585344,24,270
2020/6/24,14:35:25,22.9027455,120.272881,20.043,57,-158,-65,-84,44,-966,-5.794634819,-23.49018288,-20.04379272,-0.119423643,-1.800313234,0.023724156,24,270
2020/6/24,14:35:28,22.902737,120.2728365,20.036,-171,74,-49,-84,-12,-1066,-6.734845161,-28.0578022,-20.03539276,-0.001253373,-1.949475408,-0.049222104,24,270
2020/6/24,14:35:32,22.9027281,120.2728676,19.711,-100,87,-67,-47,-66,-871,-7.743670464,-24.81430626,-19.71263123,-0.013141568,1.803091884,0.057650849,24,270
2020/6/24,14:35:35,22.9027094,120.272925,19.988,231,-85,-218,-31,-64,-1108,-9.808537483,-18.97187614,-19.9888382,-0.016146861,1.801762342,0.051942147,24,270
2020/6/24,14:35:38,22.9026917,120.2729813,19.945,-72,50,-46,3,-109,-1010,-11.65006542,-13.64089012,-19.97615623,0.044467304,1.839262128,0.05831252,24,270
2020/6/24,14:35:41,22.9026673,120.2730316,20.113,15,-10,131,84,-84,-1007,-14.50423908,-8.041759491,-20.11395264,0.044157669,2.487141609,0.123985469,24,270
2020/6/24,14:35:44,22.9026264,120.2730687,20.006,-117,-5,-13,48,-94,-989,-19.05321121,-4.235601425,-20.00633621,0.05009957,2.543069839,0.106933616,24,270
2020/6/24,14:35:47,22.9025884,120.2731048,19.984,8,7,-16,31,-169,-1008,-23.28732681,-0.541564941,-19.98499298,0.060306139,2.560018778,0.109060399,24,270
2020/6/24,14:35:50,22.902552,120.2731362,20.005,-79,26,-64,81,-74,-995,-27.3390274,2.678789139,-20.00527,0.029669128,2.515258074,0.094054148,24,270
2020/6/24,14:35:53,22.9025267,120.2731572,20.139,2,7,-146,95,-52,-977,-30.14993286,4.834095001,-20.139925,0.153518349,2.404921055,0.020613844,24,270
2020/6/24,14:35:56,22.9025592,120.2731557,20.397,-293,-123,536,-83,46,-1045,-26.53672028,4.681577682,-20.39759636,-0.111471057,-0.534119427,0.018203255,24,270
2020/6/24,14:35:59,22.902615,120.2731463,19.948,52,52,-66,-65,87,-953,-20.32630157,3.71235466,-19.9480114,-0.072688483,-0.132432342,-0.09603326,24,270
2020/6/24,14:36:02,22.9026789,120.2731364,19.929,25,13,47,-55,83,-988,-13.20727062,2.7070961,-19.9297142,-0.059922695,-0.050293338,-0.083828397,24,270
2020/6/24,14:36:05,22.9027325,120.2731295,19.705,50,-39,-26,-39,43,-973,-7.2379179,1.991189957,-19.70552826,-0.0613662,-0.079770796,-0.10866861,24,270
2020/6/24,14:36:08,22.9027883,120.2731221,19.654,-34,289,77,-88,125,-868,-1.028692245,1.232820511,-19.65416527,-0.009921706,-0.121225923,-0.108516723,24,270
2020/6/24,14:36:11,22.9028017,120.2731201,17.26,3,44,-36,-30,82,-1070,0.460476875,1.032243729,-17.26021004,-0.037242766,-0.132174671,-0.06730523,24,270
