date,time,lat,lon,alt,x_gyro,y_gyro,z_gyro,x_acc,y_acc,z_acc,north,east,down,pitch,yaw,roll,wind_speed,wind_direction
2020/6/24,13:35:34,22.9028064,120.2731639,18.665,-12,-27,45,-99,-40,-884,-0.268291473,-0.271244049,-18.6656723,-0.122649923,-1.785689354,0.025509033,22,270
2020/6/24,13:35:37,22.9028018,120.2731344,20.149,55,35,35,-65,0,-953,-0.78032589,-3.299478531,-20.14950371,-0.191566244,-1.624192357,0.006399482,22,270
2020/6/24,13:35:40,22.902795,120.2730691,20.465,130,-46,-14,-38,-23,-946,-1.451609612,-9.45482254,-20.4857502,-0.157517448,-1.61032927,0.030705405,22,270
2020/6/24,13:35:43,22.9027897,120.2730071,20.098,-132,285,-5,-199,158,-1037,-2.133493423,-16.35008049,-20.09830284,-0.155761138,-1.654839516,0.026667681,22,270
2020/6/24,13:35:46,22.9027841,120.2729464,20.073,80,14,62,-233,-15,-1051,-2.754555702,-22.57311058,-20.07375717,-0.119114198,-1.733111143,0.011216782,22,270
2020/6/24,13:35:49,22.9027754,120.2728801,19.921,68,60,13,-67,28,-991,-3.720342636,-29.36913109,-19.92155647,-0.122359082,-1.681028962,-0.001465853,22,270
2020/6/24,13:35:52,22.9027683,120.2728205,20.134,48,-89,19,-111,-55,-988,-4.515203476,-35.48561096,-20.13438416,-0.119674817,-1.62594974,0.023604155,22,270
2020/6/24,13:35:55,22.902762,120.2727561,20.11,195,-27,17,-114,-52,-995,-5.212678909,-42.0881424,-20.11065865,-0.113511659,-1.6628021,0.017623844,22,270
2020/6/24,13:35:58,22.9027556,120.2726991,20.011,-16,87,75,-190,-11,-1016,-5.9301548,-47.931427,-20.01126099,-0.050598763,-1.663502693,0.036197539,22,270
2020/6/24,13:36:01,22.9027434,120.2727012,20.028,73,319,-821,14,-114,-972,-7.285369873,-47.71582031,-20.02827263,-0.095808186,2.657898664,0.075709738,22,270
2020/6/24,13:36:04,22.9026965,120.2727446,20.01,2,192,-111,102,-132,-936,-12.50319672,-43.26990509,-20.01083183,0.085678838,2.34940958,0.079520039,22,270
2020/6/24,13:36:07,22.9026587,120.2727809,19.886,296,-72,-59,-3,-124,-984,-16.71125603,-39.54608917,-19.88629532,0.06009163,2.200388908,0.040715553,22,270
2020/6/24,13:36:10,22.9026199,120.2728212,19.919,44,-49,-1,-11,-48,-1064,-21.07102585,-35.3875885,-19.92016792,0.034834675,2.184532404,0.064620845,22,270
2020/6/24,13:36:13,22.9025711,120.272843,20.023,-215,53,-9,7,-113,-975,-26.46835709,-33.17601776,-20.02348709,-0.036769181,-3.083737135,0.140804067,22,270
2020/6/24,13:36:16,22.9025117,120.2728314,20.252,-108,-56,132,2,-63,-998,-33.08263016,-34.36302948,-20.2525692,-0.043321058,3.061563253,0.061772831,22,270
2020/6/24,13:36:19,22.9024512,120.2728264,20.036,-62,49,161,-27,-64,-996,-39.80879974,-34.87680054,-20.0367012,-0.020725498,-3.084375858,0.133376598,22,270
2020/6/24,13:36:22,22.9024026,120.2728188,20.038,-157,-24,-163,-39,-118,-982,-45.21895599,-35.66210938,-20.03835106,0.075454623,-3.015768528,0.132378608,22,270
2020/6/24,13:36:25,22.9024137,120.2728416,20.157,-88,69,-218,39,67,-992,-43.98993301,-33.32095337,-20.15765572,-0.032288838,0.711718917,-0.090456814,22,270
2020/6/24,13:36:28,22.9024488,120.2728847,19.965,-9,58,40,47,57,-942,-40.08023071,-28.8970089,-19.96520042,0.079774842,1.014220238,-0.027411046,22,270
2020/6/24,13:36:32,22.9024732,120.2729298,20.098,-48,40,-190,45,123,-1029,-37.36883545,-24.27631187,-20.09830475,0.050628189,0.776080847,-0.089221291,22,270
2020/6/24,13:36:35,22.9025043,120.272976,20.116,-19,50,-257,38,144,-1061,-33.90634537,-19.53809547,-20.1165657,0.04648295,0.569754064,-0.145546183,22,270
2020/6/24,13:36:38,22.9025424,120.272999,19.971,-5,16,-56,-30,154,-1056,-29.66282272,-17.17697334,-19.97184753,-0.003383762,0.348311216,-0.105220057,22,270
2020/6/24,13:36:41,22.9025898,120.273021,19.93,-10,46,-14,38,94,-943,-24.38500595,-14.92663765,-19.9309864,-0.00468064,0.377055615,-0.107364736,22,270
2020/6/24,13:36:44,22.9026322,120.2730406,19.889,25,-19,-57,-21,87,-952,-19.65975571,-12.91630363,-19.88948822,-0.028060833,0.423068196,-0.059784472,22,270
2020/6/24,13:36:47,22.9026788,120.2730635,19.791,42,16,12,-36,17,-1016,-14.47563553,-10.56399918,-19.79109383,-0.038679853,0.327033937,-0.036969684,22,270
2020/6/24,13:36:50,22.9027251,120.2730875,19.94,188,-134,33,-42,47,-954,-9.325040817,-8.108154297,-19.94004822,0.002682887,0.226475537,-0.068414591,22,270
2020/6/24,13:36:53,22.902777,120.2731106,19.778,36,19,83,31,36,-1030,-3.550300598,-5.735464096,-19.77850723,0.016599387,0.236270651,-0.056856148,22,270
2020/6/24,13:36:56,22.9028033,120.2731224,18.153,-18,-40,-41,26,52,-973,-0.613054276,-4.523065567,-18.15301323,0.062412102,0.225261375,-0.06409689,22,270
